,Climate ID,Cool Deg Days (°C),Cool Deg Days Flag,Data Quality,Date/Time,Day,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Heat Deg Days (°C),Heat Deg Days Flag,Latitude (y),Longitude (x),Max Temp (°C),Max Temp Flag,Mean Temp (°C),Mean Temp Flag,Min Temp (°C),Min Temp Flag,Month,Snow on Grnd (cm),Snow on Grnd Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station Name,Total Precip (mm),Total Precip Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Year
0,3081680,0.0,,,2023-01-01,1,29.0,,31.2,,54.42,-110.28,-8.9,,-13.2,,-17.4,,1,40.0,T,35,,COLD LAKE A,0.0,T,0.0,,0.0,T,329,0,0,2023
1,3081680,0.0,,,2023-01-02,2,31.0,,34.1,,54.42,-110.28,-10.7,,-16.1,,-21.4,,1,40.0,T,56,,COLD LAKE A,0.0,T,0.0,,0.0,T,328,1,1,2023
2,3081680,0.0,,,2023-01-03,3,20.0,,33.7,,54.42,-110.28,-10.8,,-15.7,,-20.6,,1,40.0,T,33,,COLD LAKE A,0.0,,0.0,,0.0,,327,2,2,2023
3,3081680,0.0,,,2023-01-04,4,,,35.2,,54.42,-110.28,-10.8,,-17.2,,-23.6,,1,40.0,T,,,COLD LAKE A,0.0,,0.0,,0.0,,326,3,3,2023
4,3081680,0.0,,,2023-01-05,5,,,35.7,,54.42,-110.28,-14.2,,-17.7,,-21.1,,1,40.0,T,,,COLD LAKE A,0.0,T,0.0,,0.0,T,325,4,4,2023
5,3081680,0.0,,,2023-01-06,6,,,29.8,,54.42,-110.28,-7.2,,-11.8,,-16.4,,1,39.0,,,,COLD LAKE A,0.0,,0.0,,0.0,,324,5,5,2023
6,3081680,0.0,,,2023-01-07,7,28.0,,30.7,,54.42,-110.28,-6.0,,-12.7,,-19.4,,1,38.0,,72,,COLD LAKE A,0.0,T,0.0,T,0.0,,323,6,6,2023
7,3081680,0.0,,,2023-01-08,8,,,29.3,,54.42,-110.28,-5.0,,-11.3,,-17.5,,1,38.0,,,,COLD LAKE A,0.0,,0.0,,0.0,,322,7,7,2023
8,3081680,0.0,,,2023-01-09,9,,,32.2,,54.42,-110.28,-12.1,,-14.2,,-16.2,,1,37.0,T,,,COLD LAKE A,0.0,T,0.0,,0.0,T,321,8,8,2023
9,3081680,0.0,,,2023-01-10,10,,,30.2,,54.42,-110.28,-10.4,,-12.2,,-13.9,,1,37.0,T,,,COLD LAKE A,0.0,T,0.0,,0.0,T,320,9,9,2023
