,Climate ID,Cool Deg Days (°C),Cool Deg Days Flag,Data Quality,Date/Time,Day,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Heat Deg Days (°C),Heat Deg Days Flag,Latitude (y),Longitude (x),Max Temp (°C),Max Temp Flag,Mean Temp (°C),Mean Temp Flag,Min Temp (°C),Min Temp Flag,Month,Snow on Grnd (cm),Snow on Grnd Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station Name,Total Precip (mm),Total Precip Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Unnamed: 0,Unnamed: 0.1,Year
0,8202000,0.0,,,2023-01-01,1,29.0,,11.8,,44.98,-64.92,10.3,,6.2,,2.0,,1,,,56.0,,GREENWOOD A,11.2,,11.2,,0.0,,0,0,2023
1,8202000,0.0,,,2023-01-02,2,,,16.3,,44.98,-64.92,3.2,,1.7,,0.1,,1,,,,,GREENWOOD A,0.0,T,0.0,T,0.0,,1,1,2023
2,8202000,0.0,,,2023-01-03,3,,,14.8,,44.98,-64.92,6.2,,3.2,,0.2,,1,,,,,GREENWOOD A,1.0,,1.0,,0.0,,2,2,2023
3,8202000,0.0,,,2023-01-04,4,,,15.0,,44.98,-64.92,6.8,,3.0,,-0.8,,1,,,,,GREENWOOD A,3.6,,3.6,,0.0,,3,3,2023
4,8202000,0.0,,,2023-01-05,5,6.0,,19.6,,44.98,-64.92,-0.4,,-1.6,,-2.7,,1,1.0,,37.0,,GREENWOOD A,1.4,,0.0,,1.4,,4,4,2023
5,8202000,0.0,,,2023-01-06,6,,,19.0,,44.98,-64.92,0.4,,-1.0,,-2.4,,1,0.0,T,,,GREENWOOD A,1.4,,0.4,,1.0,,5,5,2023
6,8202000,0.0,,,2023-01-07,7,31.0,,18.4,,44.98,-64.92,2.8,,-0.4,,-3.6,,1,2.0,,39.0,,GREENWOOD A,1.8,,0.6,,1.0,,6,6,2023
7,8202000,0.0,,,2023-01-08,8,34.0,,22.2,,44.98,-64.92,-0.4,,-4.2,,-7.9,,1,0.0,T,39.0,,GREENWOOD A,0.2,,0.0,,0.2,,7,7,2023
8,8202000,0.0,,,2023-01-09,9,,,20.2,,44.98,-64.92,2.2,,-2.2,,-6.5,,1,0.0,T,,,GREENWOOD A,0.4,,0.2,,0.2,,8,8,2023
9,8202000,0.0,,,2023-01-10,10,29.0,,20.9,,44.98,-64.92,0.5,,-2.9,,-6.2,,1,0.0,T,35.0,,GREENWOOD A,2.0,,0.0,,5.0,,9,9,2023
10,8202000,0.0,,,2023-01-11,11,,,27.4,,44.98,-64.92,-3.7,,-9.4,,-15.0,,1,6.0,,,,GREENWOOD A,0.8,,0.0,,1.2,,10,10,2023
11,8202000,0.0,,,2023-01-12,12,,,26.5,,44.98,-64.92,-0.7,,-8.5,,-16.3,,1,6.0,E,,,GREENWOOD A,0.0,T,0.0,,0.0,T,11,11,2023
12,8202000,0.0,,,2023-01-13,13,19.0,,12.2,,44.98,-64.92,13.1,,5.8,,-1.5,,1,10.0,,50.0,,GREENWOOD A,29.4,,19.4,,10.0,,12,12,2023
13,8202000,0.0,,,2023-01-14,14,4.0,,13.7,,44.98,-64.92,10.6,,4.3,,-2.1,,1,,,46.0,,GREENWOOD A,28.8,,28.8,,0.0,T,13,13,2023
14,8202000,0.0,,,2023-01-15,15,5.0,,18.6,,44.98,-64.92,1.2,,-0.6,,-2.3,,1,0.0,T,54.0,,GREENWOOD A,18.6,,5.0,,4.6,,14,14,2023
15,8202000,0.0,,,2023-01-16,16,5.0,,16.5,,44.98,-64.92,2.2,,1.5,,0.8,,1,4.0,,50.0,,GREENWOOD A,13.2,,13.2,,0.0,,15,15,2023
16,8202000,0.0,,,2023-01-17,17,,,16.2,,44.98,-64.92,3.5,,1.8,,0.1,,1,2.0,,,,GREENWOOD A,1.4,,1.4,,0.0,T,16,16,2023
17,8202000,0.0,,,2023-01-18,18,30.0,,14.5,,44.98,-64.92,7.8,,3.5,,-0.8,,1,0.0,T,35.0,,GREENWOOD A,1.4,,0.0,,1.4,,17,17,2023
18,8202000,0.0,,,2023-01-19,19,30.0,,17.4,,44.98,-64.92,1.9,,0.6,,-0.8,,1,1.0,,39.0,,GREENWOOD A,0.4,,0.0,,0.4,,18,18,2023
19,8202000,0.0,,,2023-01-20,20,3.0,,18.9,,44.98,-64.92,-0.2,,-0.9,,-1.6,,1,0.0,T,41.0,,GREENWOOD A,5.4,,0.0,,8.2,,19,19,2023
20,8202000,0.0,,,2023-01-21,21,1.0,,22.0,,44.98,-64.92,-0.1,,-4.0,,-7.8,,1,8.0,,44.0,,GREENWOOD A,0.8,,0.0,,1.2,,20,20,2023
21,8202000,0.0,,,2023-01-22,22,22.0,,19.8,,44.98,-64.92,0.9,,-1.8,,-4.5,,1,8.0,,31.0,,GREENWOOD A,1.0,,0.0,,1.0,,21,21,2023
22,8202000,0.0,,,2023-01-23,23,32.0,,17.5,,44.98,-64.92,3.0,,0.5,,-2.1,,1,6.0,,54.0,,GREENWOOD A,33.2,,25.2,,8.0,,22,22,2023
23,8202000,0.0,,,2023-01-24,24,29.0,,18.3,,44.98,-64.92,2.5,,-0.3,,-3.1,,1,11.0,,48.0,,GREENWOOD A,1.2,,0.0,,1.2,,23,23,2023
24,8202000,0.0,,,2023-01-25,25,30.0,,21.1,,44.98,-64.92,0.3,,-3.1,,-6.5,,1,10.0,,37.0,,GREENWOOD A,0.0,T,0.0,,0.0,T,24,24,2023
25,8202000,0.0,,,2023-01-26,26,18.0,,13.2,,44.98,-64.92,12.9,,4.8,,-3.4,,1,6.0,,78.0,,GREENWOOD A,32.4,,32.4,,0.0,T,25,25,2023
26,8202000,0.0,,,2023-01-27,27,26.0,,20.7,,44.98,-64.92,1.0,,-2.7,,-6.3,,1,,,54.0,,GREENWOOD A,0.0,T,0.0,,0.0,T,26,26,2023
27,8202000,0.0,,,2023-01-28,28,18.0,,19.8,,44.98,-64.92,4.0,,-1.8,,-7.5,,1,,,39.0,,GREENWOOD A,0.0,T,0.0,T,0.0,,27,27,2023
28,8202000,0.0,,,2023-01-29,29,18.0,,15.9,,44.98,-64.92,6.2,,2.1,,-2.0,,1,,,33.0,,GREENWOOD A,1.0,,1.0,,0.0,,28,28,2023
29,8202000,0.0,,,2023-01-30,30,,,15.2,,44.98,-64.92,7.0,,2.8,,-1.4,,1,,,,,GREENWOOD A,0.0,T,0.0,,0.0,T,29,29,2023
30,8202000,0.0,,,2023-01-31,31,32.0,,23.1,,44.98,-64.92,-0.8,,-5.1,,-9.3,,1,1.0,,33.0,,GREENWOOD A,5.0,,0.0,,7.0,,30,30,2023
31,8202000,0.0,,,2023-02-01,1,,,30.3,,44.98,-64.92,-7.4,,-12.3,,-17.1,,2,5.0,,,,GREENWOOD A,0.0,T,0.0,,0.0,T,31,31,2023
32,8202000,0.0,,,2023-02-02,2,19.0,,27.3,,44.98,-64.92,-0.6,,-9.3,,-17.9,,2,7.0,,33.0,,GREENWOOD A,0.4,,0.0,,2.0,,32,32,2023
33,8202000,0.0,,,2023-02-03,3,29.0,,30.1,,44.98,-64.92,0.8,,-12.1,,-25.0,,2,8.0,,63.0,,GREENWOOD A,6.6,,0.0,,9.2,,33,33,2023
34,8202000,0.0,,,2023-02-04,4,27.0,,37.5,,44.98,-64.92,-13.7,,-19.5,,-25.2,,2,16.0,,76.0,,GREENWOOD A,4.6,,0.0,,13.4,,34,34,2023
35,8202000,0.0,,,2023-02-05,5,21.0,,23.5,,44.98,-64.92,3.4,,-5.5,,-14.4,,2,18.0,,31.0,,GREENWOOD A,1.2,,0.0,,1.4,,35,35,2023
36,8202000,0.0,,,2023-02-06,6,4.0,,17.7,,44.98,-64.92,4.9,,0.3,,-4.3,,2,12.0,,59.0,,GREENWOOD A,0.0,T,0.0,,0.0,T,36,36,2023
37,8202000,0.0,,,2023-02-07,7,3.0,,23.4,,44.98,-64.92,-0.8,,-5.4,,-9.9,,2,9.0,,57.0,,GREENWOOD A,0.0,T,0.0,,0.0,T,37,37,2023
38,8202000,0.0,,,2023-02-08,8,31.0,,19.7,,44.98,-64.92,4.2,,-1.7,,-7.5,,2,9.0,,48.0,,GREENWOOD A,0.8,,0.0,,0.9,,38,38,2023
39,8202000,0.0,,,2023-02-09,9,30.0,,21.6,,44.98,-64.92,-1.4,,-3.6,,-5.8,,2,6.0,,35.0,,GREENWOOD A,4.0,,0.0,,5.0,,39,39,2023
40,8202000,0.0,,,2023-02-10,10,29.0,,17.2,,44.98,-64.92,5.6,,0.8,,-4.0,,2,14.0,,69.0,,GREENWOOD A,6.6,,3.6,,4.0,,40,40,2023
41,8202000,0.0,,,2023-02-11,11,16.0,,20.4,,44.98,-64.92,2.0,,-2.4,,-6.8,,2,11.0,,52.0,,GREENWOOD A,0.2,,0.0,,0.0,T,41,41,2023
42,8202000,0.0,,,2023-02-12,12,28.0,,20.9,,44.98,-64.92,4.5,,-2.9,,-10.3,,2,10.0,,39.0,,GREENWOOD A,0.0,,0.0,,0.0,,42,42,2023
43,8202000,0.0,,,2023-02-13,13,6.0,,20.9,,44.98,-64.92,1.1,,-2.9,,-6.8,,2,8.0,E,46.0,,GREENWOOD A,0.0,T,0.0,,0.0,T,43,43,2023
44,8202000,0.0,,,2023-02-14,14,1.0,,24.4,,44.98,-64.92,-1.7,,-6.4,,-11.0,,2,7.0,,31.0,,GREENWOOD A,0.0,,0.0,,0.0,,44,44,2023
45,8202000,0.0,,,2023-02-15,15,18.0,,20.9,,44.98,-64.92,6.3,,-2.9,,-12.0,,2,4.0,E,57.0,,GREENWOOD A,1.0,,1.0,,0.0,,45,45,2023
46,8202000,0.0,,,2023-02-16,16,27.0,,12.2,,44.98,-64.92,11.0,,5.8,,0.5,,2,4.0,,57.0,,GREENWOOD A,0.0,,0.0,,0.0,,46,46,2023
