,Climate ID,Cool Deg Days (°C),Cool Deg Days Flag,Data Quality,Date/Time,Day,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Heat Deg Days (°C),Heat Deg Days Flag,Latitude (y),Longitude (x),Max Temp (°C),Max Temp Flag,Mean Temp (°C),Mean Temp Flag,Min Temp (°C),Min Temp Flag,Month,Snow on Grnd (cm),Snow on Grnd Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station Name,Total Precip (mm),Total Precip Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Unnamed: 0,Unnamed: 0.1,Year
0,5022125,0.0,,,2023-01-01,1,,,29.1,,49.19,-98.9,-8.4,,-11.1,,-13.8,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,0,0,2023
1,5022125,0.0,,,2023-01-02,2,,,32.8,,49.19,-98.9,-8.9,,-14.8,,-20.7,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,1,1,2023
2,5022125,0.0,,,2023-01-03,3,,,33.0,,49.19,-98.9,-8.8,,-15.0,,-21.1,,1,29.0,,,,PILOT MOUND (AUT),0.0,,,,,,2,2,2023
3,5022125,0.0,,,2023-01-04,4,,,34.1,,49.19,-98.9,-11.5,,-16.1,,-20.7,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,3,3,2023
4,5022125,0.0,,,2023-01-05,5,,,32.2,,49.19,-98.9,-10.0,,-14.2,,-18.4,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,4,4,2023
5,5022125,0.0,,,2023-01-06,6,,,34.9,,49.19,-98.9,-11.4,,-16.9,,-22.3,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,5,5,2023
6,5022125,0.0,,,2023-01-07,7,20.0,,34.2,,49.19,-98.9,-10.4,,-16.2,,-22.0,,1,29.0,,37.0,,PILOT MOUND (AUT),0.0,,,,,,6,6,2023
7,5022125,0.0,,,2023-01-08,8,,,30.3,,49.19,-98.9,-6.4,,-12.3,,-18.2,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,7,7,2023
8,5022125,0.0,,,2023-01-09,9,,,29.5,,49.19,-98.9,-6.5,,-11.5,,-16.5,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,8,8,2023
9,5022125,0.0,,,2023-01-10,10,,,28.1,,49.19,-98.9,-5.6,,-10.1,,-14.6,,1,31.0,,,,PILOT MOUND (AUT),0.0,,,,,,9,9,2023
10,5022125,0.0,,,2023-01-11,11,,,27.8,,49.19,-98.9,-8.7,,-9.8,,-11.0,,1,32.0,,,,PILOT MOUND (AUT),0.3,,,,,,10,10,2023
11,5022125,0.0,,,2023-01-12,12,,,32.9,,49.19,-98.9,-9.7,,-14.9,,-20.2,,1,32.0,,,,PILOT MOUND (AUT),0.0,,,,,,11,11,2023
12,5022125,0.0,,,2023-01-13,13,18.0,,32.6,,49.19,-98.9,-7.8,,-14.6,,-21.4,,1,31.0,,42.0,,PILOT MOUND (AUT),0.0,,,,,,12,12,2023
13,5022125,0.0,,,2023-01-14,14,,,27.9,,49.19,-98.9,-6.1,,-9.9,,-13.6,,1,30.0,,,,PILOT MOUND (AUT),0.1,,,,,,13,13,2023
14,5022125,0.0,,,2023-01-15,15,,,24.7,,49.19,-98.9,-4.9,,-6.7,,-8.6,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,14,14,2023
15,5022125,0.0,,,2023-01-16,16,,,27.3,,49.19,-98.9,-5.7,,-9.3,,-12.8,,1,30.0,,,,PILOT MOUND (AUT),0.0,,,,,,15,15,2023
16,5022125,0.0,,,2023-01-17,17,,M,31.5,,49.19,-98.9,-12.4,,-13.5,,-14.6,,1,31.0,,,M,PILOT MOUND (AUT),0.0,,,,,,16,16,2023
17,5022125,0.0,,,2023-01-18,18,,M,28.2,,49.19,-98.9,-7.7,,-10.2,,-12.6,,1,30.0,,,M,PILOT MOUND (AUT),0.0,,,,,,17,17,2023
18,5022125,0.0,,,2023-01-19,19,,M,26.3,,49.19,-98.9,-7.6,,-8.3,,-9.1,,1,31.0,,,M,PILOT MOUND (AUT),0.0,,,,,,18,18,2023
