,Longitude (x),Latitude (y),Station Name,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Extreme_Weather_Condition
0,-110.28,54.42,0,1954-01-03,-23.3,-26.7,-25.0,0.0,0.5,0.5,Extreme Cold
1,-110.28,54.42,0,1954-01-04,-26.7,-30.0,-28.4,0.0,0.3,0.3,Extreme Cold
2,-110.28,54.42,0,1954-01-05,-18.9,-30.6,-24.8,0.0,20.8,20.8,Freezing Rain
3,-110.28,54.42,0,1954-01-06,-20.0,-26.7,-23.4,0.0,0.5,0.5,Freezing Rain
4,-110.28,54.42,0,1954-01-07,-20.6,-22.8,-21.7,0.0,0.0,0.0,Normal
5,-110.28,54.42,0,1954-01-08,-24.4,-32.8,-28.6,0.0,0.0,0.0,Extreme Cold
6,-110.28,54.42,0,1954-01-09,-20.6,-31.7,-26.2,0.0,0.0,0.0,Extreme Cold
7,-110.28,54.42,0,1954-01-10,-13.9,-27.2,-20.6,0.0,0.0,0.0,Normal
8,-110.28,54.42,0,1954-01-11,-8.9,-20.0,-14.5,0.0,0.0,0.0,Normal
9,-110.28,54.42,0,1954-01-12,-11.1,-18.3,-14.7,0.0,0.8,0.8,Freezing Rain
10,-110.28,54.42,0,1954-01-13,-20.6,-25.6,-23.1,0.0,0.0,0.0,Normal
11,-110.28,54.42,0,1954-01-14,-30.0,-36.1,-33.1,0.0,0.0,0.0,Extreme Cold
12,-110.28,54.42,0,1954-01-15,-33.9,-45.0,-39.5,0.0,0.0,0.0,Extreme Cold
13,-110.28,54.42,0,1954-01-16,-25.0,-41.1,-33.1,0.0,0.0,0.0,Extreme Cold
14,-110.28,54.42,0,1954-01-17,-27.2,-32.8,-30.0,0.0,1.0,1.0,Extreme Cold
15,-110.28,54.42,0,1954-01-18,-23.9,-34.4,-29.2,0.0,0.0,0.0,Extreme Cold
16,-110.28,54.42,0,1954-01-19,-31.7,-39.4,-35.6,0.0,0.0,0.0,Extreme Cold
17,-110.28,54.42,0,1954-01-20,-34.4,-48.3,-41.4,0.0,0.0,0.0,Extreme Cold
18,-110.28,54.42,0,1954-01-21,-33.9,-46.1,-40.0,0.0,0.0,0.0,Extreme Cold
19,-110.28,54.42,0,1954-01-22,-30.6,-45.0,-37.8,0.0,0.0,0.0,Extreme Cold
20,-110.28,54.42,0,1954-01-23,-29.4,-37.8,-33.6,0.0,0.0,0.0,Extreme Cold
21,-110.28,54.42,0,1954-01-24,-29.4,-45.0,-37.2,0.0,0.0,0.0,Extreme Cold
22,-110.28,54.42,0,1954-01-25,-29.4,-41.1,-35.3,0.0,0.5,0.5,Extreme Cold
23,-110.28,54.42,0,1954-01-26,-25.6,-40.6,-33.1,0.0,0.0,0.0,Extreme Cold
