,Longitude (x),Latitude (y),Station Name,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Extreme_Weather_Condition
0,-124.9,49.72,0,1953-01-01,5.6,-1.1,2.3,4.3,0.0,4.3,Normal
1,-124.9,49.72,0,1953-01-02,5.6,2.8,4.2,16.5,0.0,16.5,Snow Storm
2,-124.9,49.72,0,1953-01-03,8.9,3.9,6.4,0.0,0.0,0.0,Normal
3,-124.9,49.72,0,1953-01-04,6.7,3.3,5.0,0.0,0.0,0.0,Normal
4,-124.9,49.72,0,1953-01-05,4.4,2.2,3.3,0.0,0.0,0.0,Normal
5,-124.9,49.72,0,1953-01-06,3.3,-1.7,0.8,0.0,6.4,6.4,Normal
6,-124.9,49.72,0,1953-01-07,6.7,-3.3,1.7,5.3,12.7,18.0,Heavy Snowfall
7,-124.9,49.72,0,1953-01-08,8.9,-3.3,2.8,16.8,12.2,29.0,Heavy Rainfall
8,-124.9,49.72,0,1953-01-09,8.9,-1.7,3.6,3.0,0.0,3.0,Normal
9,-124.9,49.72,0,1953-01-10,6.1,-3.9,1.1,14.2,0.0,14.2,Snow Storm
10,-124.9,49.72,0,1953-01-11,10.0,0.6,5.3,11.9,5.6,17.5,Snow Storm
11,-124.9,49.72,0,1953-01-12,7.2,0.6,3.9,5.8,0.0,5.8,Normal
12,-124.9,49.72,0,1953-01-13,2.8,0.6,1.7,1.8,0.0,1.8,Normal
13,-124.9,49.72,0,1953-01-14,3.9,-0.6,1.7,0.3,0.0,0.3,Normal
14,-124.9,49.72,0,1953-01-15,10.0,0.6,5.3,20.1,0.0,20.1,Snow Storm
15,-124.9,49.72,0,1953-01-16,6.7,1.1,3.9,0.3,0.0,0.3,Normal
16,-124.9,49.72,0,1953-01-17,5.0,0.0,2.5,11.9,0.0,11.9,Snow Storm
17,-124.9,49.72,0,1953-01-18,5.6,3.3,4.5,20.1,0.0,20.1,Snow Storm
18,-124.9,49.72,0,1953-01-19,8.3,3.3,5.8,10.4,0.0,10.4,Snow Storm
19,-124.9,49.72,0,1953-01-20,8.9,6.7,7.8,0.3,0.0,0.3,Normal
20,-124.9,49.72,0,1953-01-21,7.8,2.2,5.0,3.3,0.0,3.3,Normal
21,-124.9,49.72,0,1953-01-22,6.7,3.9,5.3,6.4,0.0,6.4,Normal
