,Longitude (x),Latitude (y),Station Name,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Extreme_Weather_Condition
0,-64.92,44.98,0,1953-01-01,-2.2,-12.8,-7.5,0.0,0.0,0.0,Normal
1,-64.92,44.98,0,1953-01-02,2.2,-16.1,-7.0,0.0,0.0,0.0,Normal
2,-64.92,44.98,0,1953-01-03,10.0,-2.2,3.9,14.2,0.0,14.2,Snow Storm
3,-64.92,44.98,0,1953-01-04,5.0,1.7,3.4,0.0,0.0,0.0,Normal
4,-64.92,44.98,0,1953-01-05,-1.7,-5.0,-3.4,0.0,0.0,0.0,Normal
5,-64.92,44.98,0,1953-01-06,-0.6,-9.4,-5.0,0.0,0.0,0.0,Normal
6,-64.92,44.98,0,1953-01-07,-3.3,-6.1,-4.7,0.0,0.0,0.0,Normal
7,-64.92,44.98,0,1953-01-08,-5.6,-8.9,-7.3,0.0,0.0,0.0,Normal
8,-64.92,44.98,0,1953-01-09,-4.4,-14.4,-9.4,0.0,0.0,0.0,Normal
9,-64.92,44.98,0,1953-01-10,5.0,-5.6,-0.3,1.8,0.0,1.8,Freezing Rain
10,-64.92,44.98,0,1953-01-11,13.3,-1.7,5.8,14.7,0.0,14.7,Snow Storm
11,-64.92,44.98,0,1953-01-12,3.9,0.0,2.0,0.0,1.0,1.0,Normal
12,-64.92,44.98,0,1953-01-13,1.7,-4.4,-1.4,0.0,2.0,2.0,Freezing Rain
13,-64.92,44.98,0,1953-01-14,3.3,-2.2,0.6,0.0,2.5,2.5,Normal
14,-64.92,44.98,0,1953-01-15,5.6,-5.0,0.3,0.0,1.3,1.3,Normal
15,-64.92,44.98,0,1953-01-16,12.8,1.1,7.0,0.0,0.0,0.0,Normal
16,-64.92,44.98,0,1953-01-17,-4.4,-10.0,-7.2,0.0,0.0,0.0,Normal
17,-64.92,44.98,0,1953-01-18,7.2,-11.1,-2.0,9.1,1.0,10.2,Freezing Rain
18,-64.92,44.98,0,1953-01-19,5.6,-3.3,1.2,0.0,0.0,0.0,Normal
19,-64.92,44.98,0,1953-01-20,2.8,-1.1,0.9,0.0,0.0,0.0,Normal
20,-64.92,44.98,0,1953-01-21,-1.1,-6.7,-3.9,0.0,0.0,0.0,Normal
21,-64.92,44.98,0,1953-01-22,-1.1,-5.0,-3.1,0.0,0.0,0.0,Normal
22,-64.92,44.98,0,1953-01-23,2.8,-10.0,-3.6,0.0,0.0,0.0,Normal
23,-64.92,44.98,0,1953-01-24,13.9,-3.9,5.0,15.5,0.0,15.5,Snow Storm
24,-64.92,44.98,0,1953-01-25,12.8,4.4,8.6,0.0,2.5,2.5,Normal
25,-64.92,44.98,0,1953-01-26,-0.6,-6.7,-3.7,0.0,8.9,8.9,Freezing Rain
26,-64.92,44.98,0,1953-01-27,-7.2,-13.3,-10.3,0.0,0.0,0.0,Normal
27,-64.92,44.98,0,1953-01-28,8.3,-13.9,-2.8,3.8,2.5,6.4,Freezing Rain
28,-64.92,44.98,0,1953-01-29,0.0,-2.2,-1.1,0.0,2.0,2.0,Freezing Rain
29,-64.92,44.98,0,1953-01-30,-5.6,-8.3,-7.0,0.0,0.0,0.0,Normal
30,-64.92,44.98,0,1953-01-31,9.4,-13.9,-2.3,20.8,0.0,20.8,Freezing Rain
31,-64.92,44.98,0,1953-02-01,10.6,-7.2,1.7,5.1,0.0,5.1,Normal
32,-64.92,44.98,0,1953-02-02,-8.9,-14.4,-11.7,0.0,0.0,0.0,Normal
33,-64.92,44.98,0,1953-02-03,-1.1,-12.2,-6.7,0.0,1.3,1.3,Freezing Rain
34,-64.92,44.98,0,1953-02-04,-2.2,-3.9,-3.1,0.0,6.4,6.4,Freezing Rain
35,-64.92,44.98,0,1953-02-05,-2.2,-12.2,-7.2,0.0,0.0,0.0,Normal
36,-64.92,44.98,0,1953-02-06,1.7,-16.1,-7.2,0.0,0.0,0.0,Normal
37,-64.92,44.98,0,1953-02-07,10.6,-5.6,2.5,8.1,0.0,8.1,Normal
38,-64.92,44.98,0,1953-02-08,12.2,3.3,7.8,49.0,2.5,51.6,Heavy Rainfall
39,-64.92,44.98,0,1953-02-09,2.2,-0.6,0.8,0.0,1.3,1.3,Normal
40,-64.92,44.98,0,1953-02-10,-2.8,-7.8,-5.3,0.0,0.0,0.0,Normal
41,-64.92,44.98,0,1953-02-11,-3.3,-6.7,-5.0,0.0,0.0,0.0,Normal
42,-64.92,44.98,0,1953-02-12,-3.3,-14.4,-8.9,0.0,0.0,0.0,Normal
43,-64.92,44.98,0,1953-02-13,-0.6,-6.1,-3.4,0.0,10.2,10.2,Freezing Rain
44,-64.92,44.98,0,1953-02-14,-1.7,-3.9,-2.8,0.0,0.0,0.0,Normal
45,-64.92,44.98,0,1953-02-15,8.9,-16.7,-3.9,18.5,0.0,18.5,Freezing Rain
46,-64.92,44.98,0,1953-02-16,3.9,-2.2,0.9,0.0,0.0,0.0,Normal
47,-64.92,44.98,0,1953-02-17,2.8,-2.2,0.3,0.0,0.0,0.0,Normal
48,-64.92,44.98,0,1953-02-18,-2.8,-6.7,-4.8,0.0,0.0,0.0,Normal
49,-64.92,44.98,0,1953-02-19,-1.7,-11.1,-6.4,0.0,0.0,0.0,Normal
50,-64.92,44.98,0,1953-02-20,8.3,-11.1,-1.4,0.0,0.0,0.0,Normal
