,Longitude (x),Latitude (y),Station Name,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Extreme_Weather_Condition
0,-137.58,60.77,0,1960-01-01,-8.3,-24.4,-16.4,0.0,1.5,1.5,Freezing Rain
1,-137.58,60.77,0,1960-01-02,-2.8,-17.8,-10.3,0.0,0.0,0.0,Normal
2,-137.58,60.77,0,1960-01-03,-2.2,-19.4,-10.8,0.0,0.0,0.0,Normal
3,-137.58,60.77,0,1960-01-04,3.3,-11.1,-3.9,0.0,0.0,0.0,Normal
4,-137.58,60.77,0,1960-01-05,3.9,-10.6,-3.4,0.0,0.0,0.0,Normal
5,-137.58,60.77,0,1960-01-06,-16.1,-17.8,-17.0,0.0,0.0,0.0,Normal
6,-137.58,60.77,0,1960-01-07,-18.9,-28.9,-23.9,0.0,0.0,0.0,Normal
7,-137.58,60.77,0,1960-01-08,-13.3,-31.7,-22.5,0.0,0.0,0.0,Normal
8,-137.58,60.77,0,1960-01-09,-17.2,-31.1,-24.2,0.0,5.3,5.3,Freezing Rain
9,-137.58,60.77,0,1960-01-10,-16.7,-27.2,-22.0,0.0,0.8,0.8,Freezing Rain
10,-137.58,60.77,0,1960-01-11,-18.9,-26.1,-22.5,0.0,0.8,0.8,Freezing Rain
11,-137.58,60.77,0,1960-01-12,-21.7,-32.8,-27.3,0.0,0.8,0.8,Freezing Rain
12,-137.58,60.77,0,1960-01-13,-21.7,-31.1,-26.4,0.0,0.0,0.0,Normal
13,-137.58,60.77,0,1960-01-14,-26.1,-30.0,-28.1,0.0,0.0,0.0,Normal
14,-137.58,60.77,0,1960-01-15,-35.0,-36.7,-35.9,0.0,0.0,0.0,Extreme Cold
15,-137.58,60.77,0,1960-01-16,-17.2,-42.2,-29.7,0.0,0.8,0.8,Freezing Rain
16,-137.58,60.77,0,1960-01-17,-0.6,-41.7,-21.2,0.0,0.0,0.0,Normal
17,-137.58,60.77,0,1960-01-18,-13.9,-24.4,-19.2,0.0,0.0,0.0,Normal
18,-137.58,60.77,0,1960-01-19,-12.2,-19.4,-15.8,0.0,0.0,0.0,Normal
19,-137.58,60.77,0,1960-01-20,-11.7,-20.0,-15.9,0.0,0.5,0.5,Freezing Rain
20,-137.58,60.77,0,1960-01-21,-12.8,-13.9,-13.4,0.0,0.3,0.3,Freezing Rain
21,-137.58,60.77,0,1960-01-22,-18.3,-21.1,-19.7,0.0,0.0,0.0,Normal
22,-137.58,60.77,0,1960-01-23,-23.9,-32.2,-28.1,0.0,0.0,0.0,Normal
23,-137.58,60.77,0,1960-01-24,-21.1,-32.2,-26.7,0.0,0.0,0.0,Normal
24,-137.58,60.77,0,1960-01-25,-23.9,-34.4,-29.2,0.0,0.0,0.0,Normal
25,-137.58,60.77,0,1960-01-26,-18.3,-33.3,-25.8,0.0,3.0,3.0,Freezing Rain
26,-137.58,60.77,0,1960-01-27,-17.8,-27.8,-22.8,0.0,0.5,0.5,Freezing Rain
27,-137.58,60.77,0,1960-01-28,-16.7,-26.7,-21.7,0.0,3.8,3.8,Freezing Rain
28,-137.58,60.77,0,1960-01-29,-16.7,-22.8,-19.8,0.0,0.5,0.5,Freezing Rain
29,-137.58,60.77,0,1960-01-30,0.6,-23.9,-11.7,0.0,8.4,8.4,Freezing Rain
30,-137.58,60.77,0,1960-01-31,1.1,-19.4,-9.2,0.0,0.0,0.0,Normal
31,-137.58,60.77,0,1960-02-01,-6.7,-13.9,-10.3,0.0,0.0,0.0,Normal
32,-137.58,60.77,0,1960-02-02,-5.6,-13.9,-9.8,0.0,0.0,0.0,Normal
33,-137.58,60.77,0,1960-02-03,-5.6,-25.0,-15.3,0.0,0.0,0.0,Normal
34,-137.58,60.77,0,1960-02-04,-15.6,-32.2,-23.9,0.0,0.0,0.0,Normal
35,-137.58,60.77,0,1960-02-05,-10.6,-31.7,-21.2,0.0,0.3,0.3,Freezing Rain
36,-137.58,60.77,0,1960-02-06,-5.6,-20.0,-12.8,0.0,5.6,5.6,Freezing Rain
37,-137.58,60.77,0,1960-02-07,-1.1,-17.8,-9.5,0.0,0.0,0.0,Normal
38,-137.58,60.77,0,1960-02-08,-5.6,-16.7,-11.2,0.0,0.0,0.0,Normal
39,-137.58,60.77,0,1960-02-09,-14.4,-26.1,-20.3,0.0,0.0,0.0,Normal
40,-137.58,60.77,0,1960-02-10,-11.7,-25.0,-18.4,0.0,0.0,0.0,Normal
41,-137.58,60.77,0,1960-02-11,-13.3,-31.1,-22.2,0.0,3.3,3.3,Freezing Rain
42,-137.58,60.77,0,1960-02-12,-2.2,-30.0,-16.1,0.0,1.5,1.5,Freezing Rain
43,-137.58,60.77,0,1960-02-13,-5.6,-14.4,-10.0,0.0,0.0,0.0,Normal
44,-137.58,60.77,0,1960-02-14,-7.2,-14.4,-10.8,0.0,0.0,0.0,Normal
45,-137.58,60.77,0,1960-02-15,-2.8,-17.2,-10.0,0.0,0.0,0.0,Normal
46,-137.58,60.77,0,1960-02-16,-11.7,-24.4,-18.1,0.0,0.0,0.0,Normal
47,-137.58,60.77,0,1960-02-17,-7.8,-23.3,-15.6,0.0,0.0,0.0,Normal
48,-137.58,60.77,0,1960-02-18,-11.7,-28.9,-20.3,0.0,0.3,0.3,Freezing Rain
49,-137.58,60.77,0,1960-02-19,-8.9,-21.7,-15.3,0.0,2.8,2.8,Freezing Rain
50,-137.58,60.77,0,1960-02-20,-8.9,-15.6,-12.3,0.0,0.0,0.0,Normal
51,-137.58,60.77,0,1960-02-21,-6.7,-26.1,-16.4,0.0,0.0,0.0,Normal
52,-137.58,60.77,0,1960-02-22,3.9,-20.0,-8.1,0.0,0.0,0.0,Normal
53,-137.58,60.77,0,1960-02-23,3.9,-12.2,-4.2,0.0,0.0,0.0,Normal
54,-137.58,60.77,0,1960-02-24,-6.1,-23.9,-15.0,0.0,0.0,0.0,Normal
55,-137.58,60.77,0,1960-02-25,-6.7,-27.8,-17.3,0.0,0.0,0.0,Normal
56,-137.58,60.77,0,1960-02-26,-5.6,-27.8,-16.7,0.0,0.0,0.0,Normal
57,-137.58,60.77,0,1960-02-27,1.1,-21.7,-10.3,0.0,0.0,0.0,Normal
58,-137.58,60.77,0,1960-02-28,0.0,-8.9,-4.5,0.0,0.0,0.0,Normal
59,-137.58,60.77,0,1960-02-29,-2.2,-6.7,-4.5,0.0,0.0,0.0,Normal
60,-137.58,60.77,0,1960-03-01,-7.2,-25.6,-16.4,0.0,0.0,0.0,Normal
61,-137.58,60.77,0,1960-03-02,2.2,-26.1,-12.0,0.0,0.0,0.0,Normal
62,-137.58,60.77,0,1960-03-03,-5.6,-19.4,-12.5,0.0,0.0,0.0,Normal
63,-137.58,60.77,0,1960-03-04,-5.6,-25.6,-15.6,0.0,0.0,0.0,Normal
64,-137.58,60.77,0,1960-03-05,-10.0,-22.2,-16.1,0.0,0.0,0.0,Normal
65,-137.58,60.77,0,1960-03-06,-13.9,-16.7,-15.3,0.0,0.0,0.0,Normal
66,-137.58,60.77,0,1960-03-07,-15.6,-17.2,-16.4,0.0,0.0,0.0,Normal
67,-137.58,60.77,0,1960-03-08,-15.0,-20.0,-17.5,0.0,0.0,0.0,Normal
68,-137.58,60.77,0,1960-03-09,-17.2,-22.2,-19.7,0.0,0.0,0.0,Normal
69,-137.58,60.77,0,1960-03-10,-11.7,-23.3,-17.5,0.0,1.3,1.3,Freezing Rain
70,-137.58,60.77,0,1960-03-11,-13.3,-20.6,-17.0,0.0,3.0,3.0,Freezing Rain
71,-137.58,60.77,0,1960-03-12,-11.1,-17.2,-14.2,0.0,0.0,0.0,Normal
72,-137.58,60.77,0,1960-03-13,-8.9,-27.2,-18.1,0.0,0.0,0.0,Normal
73,-137.58,60.77,0,1960-03-14,-7.2,-26.7,-17.0,0.0,0.0,0.0,Normal
