,Longitude (x),Latitude (y),Station Name,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Extreme_Weather_Condition
0,-60.22,55.45,0,1953-01-01,-10.0,-17.8,-13.9,0.0,0.3,0.3,Freezing Rain
1,-60.22,55.45,0,1953-01-02,-7.2,-15.0,-11.1,0.0,0.0,0.0,Normal
2,-60.22,55.45,0,1953-01-03,-5.0,-17.8,-11.4,0.0,1.3,1.3,Freezing Rain
3,-60.22,55.45,0,1953-01-04,1.7,-12.2,-5.3,0.0,8.9,8.9,Freezing Rain
4,-60.22,55.45,0,1953-01-05,1.7,-12.2,-5.3,0.0,1.3,1.3,Freezing Rain
5,-60.22,55.45,0,1953-01-06,-5.0,-12.2,-8.6,0.0,3.6,3.6,Freezing Rain
6,-60.22,55.45,0,1953-01-07,-8.9,-17.2,-13.1,0.0,5.3,5.3,Freezing Rain
7,-60.22,55.45,0,1953-01-08,-13.3,-15.6,-14.5,0.0,0.3,0.3,Freezing Rain
8,-60.22,55.45,0,1953-01-09,-14.4,-17.8,-16.1,0.0,0.0,0.0,Normal
9,-60.22,55.45,0,1953-01-10,-5.6,-17.8,-11.7,0.0,0.0,0.0,Normal
10,-60.22,55.45,0,1953-01-11,-4.4,-12.2,-8.3,0.0,0.8,0.8,Freezing Rain
11,-60.22,55.45,0,1953-01-12,-5.6,-20.0,-12.8,0.0,0.0,0.0,Normal
12,-60.22,55.45,0,1953-01-13,-20.6,-25.0,-22.8,0.0,0.0,0.0,Normal
13,-60.22,55.45,0,1953-01-14,-20.0,-23.3,-21.7,0.0,0.0,0.0,Normal
14,-60.22,55.45,0,1953-01-15,-18.9,-25.0,-22.0,0.0,0.5,0.5,Freezing Rain
15,-60.22,55.45,0,1953-01-16,-6.7,-21.1,-13.9,0.0,3.6,3.6,Freezing Rain
16,-60.22,55.45,0,1953-01-17,-12.2,-20.0,-16.1,0.0,0.5,0.5,Freezing Rain
17,-60.22,55.45,0,1953-01-18,-12.8,-23.3,-18.1,0.0,2.5,2.5,Freezing Rain
18,-60.22,55.45,0,1953-01-19,-12.8,-18.3,-15.6,0.0,1.8,1.8,Freezing Rain
19,-60.22,55.45,0,1953-01-20,-14.4,-18.9,-16.7,0.0,0.0,0.0,Normal
20,-60.22,55.45,0,1953-01-21,-20.6,-25.0,-22.8,0.0,0.0,0.0,Normal
21,-60.22,55.45,0,1953-01-22,-17.2,-27.8,-22.5,0.0,0.3,0.3,Freezing Rain
22,-60.22,55.45,0,1953-01-23,-18.9,-23.9,-21.4,0.0,0.0,0.0,Normal
23,-60.22,55.45,0,1953-01-24,-15.0,-23.3,-19.2,0.0,0.0,0.0,Normal
24,-60.22,55.45,0,1953-01-25,-21.7,-25.6,-23.7,0.0,0.3,0.3,Freezing Rain
25,-60.22,55.45,0,1953-01-26,-21.1,-24.4,-22.8,0.0,0.0,0.0,Normal
26,-60.22,55.45,0,1953-01-27,-18.9,-26.7,-22.8,0.0,0.0,0.0,Normal
27,-60.22,55.45,0,1953-01-28,-12.2,-26.7,-19.5,0.0,1.3,1.3,Freezing Rain
28,-60.22,55.45,0,1953-01-29,-5.0,-20.6,-12.8,0.0,3.8,3.8,Freezing Rain
