,Longitude (x),Latitude (y),Station Name,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Extreme_Weather_Condition
0,-98.9,49.19,0,1957-12-01,-3.3,-14.4,-8.9,0.0,0.3,0.3,Freezing Rain
1,-98.9,49.19,0,1957-12-02,-10.0,-21.7,-15.9,0.0,0.0,0.0,Normal
2,-98.9,49.19,0,1957-12-03,-3.3,-12.8,-8.1,0.0,0.0,0.0,Normal
3,-98.9,49.19,0,1957-12-04,-2.8,-11.1,-7.0,0.0,0.0,0.0,Normal
4,-98.9,49.19,0,1957-12-05,2.8,-10.0,-3.6,0.0,0.0,0.0,Normal
5,-98.9,49.19,0,1957-12-06,-6.1,-10.0,-8.1,0.0,0.3,0.3,Freezing Rain
6,-98.9,49.19,0,1957-12-07,-5.0,-8.9,-7.0,0.0,1.0,1.0,Normal
7,-98.9,49.19,0,1957-12-08,2.8,-15.0,-6.1,0.0,0.0,0.0,Normal
8,-98.9,49.19,0,1957-12-09,3.3,-6.1,-1.4,0.0,5.3,5.3,Normal
9,-98.9,49.19,0,1957-12-10,-18.9,-23.3,-21.1,0.0,0.0,0.0,Normal
10,-98.9,49.19,0,1957-12-11,-6.7,-23.9,-15.3,0.0,0.0,0.0,Normal
11,-98.9,49.19,0,1957-12-12,1.7,-13.9,-6.1,0.0,0.0,0.0,Normal
12,-98.9,49.19,0,1957-12-13,0.0,-5.0,-2.5,0.0,0.0,0.0,Normal
13,-98.9,49.19,0,1957-12-14,1.1,-11.1,-5.0,0.0,0.0,0.0,Normal
14,-98.9,49.19,0,1957-12-15,-1.1,-3.3,-2.2,0.0,0.0,0.0,Normal
15,-98.9,49.19,0,1957-12-16,0.0,-13.9,-7.0,0.0,0.0,0.0,Normal
16,-98.9,49.19,0,1957-12-17,1.1,-4.4,-1.7,0.0,0.0,0.0,Normal
17,-98.9,49.19,0,1957-12-18,4.4,-1.1,1.7,0.0,0.0,0.0,Normal
18,-98.9,49.19,0,1957-12-19,1.7,-7.8,-3.1,0.0,0.0,0.0,Normal
19,-98.9,49.19,0,1957-12-20,5.6,-11.1,-2.8,0.0,0.0,0.0,Normal
20,-98.9,49.19,0,1957-12-21,-0.6,-11.1,-5.9,0.0,0.0,0.0,Normal
21,-98.9,49.19,0,1957-12-22,-3.9,-9.4,-6.7,0.0,0.5,0.5,Normal
22,-98.9,49.19,0,1957-12-23,-4.4,-15.0,-9.7,0.0,0.0,0.0,Normal
23,-98.9,49.19,0,1957-12-24,-0.6,-13.3,-7.0,0.0,0.0,0.0,Normal
24,-98.9,49.19,0,1957-12-25,-1.1,-8.9,-5.0,0.0,0.0,0.0,Normal
25,-98.9,49.19,0,1957-12-26,-4.4,-17.2,-10.8,0.0,0.0,0.0,Normal
26,-98.9,49.19,0,1957-12-27,-5.6,-16.7,-11.2,0.0,0.0,0.0,Normal
27,-98.9,49.19,0,1957-12-28,-23.3,-27.8,-25.6,0.0,0.0,0.0,Normal
28,-98.9,49.19,0,1957-12-29,-22.2,-30.6,-26.4,0.0,0.0,0.0,Normal
29,-98.9,49.19,0,1957-12-30,-22.8,-30.6,-26.7,0.0,0.0,0.0,Normal
30,-98.9,49.19,0,1957-12-31,-12.8,-26.1,-19.5,0.0,0.0,0.0,Normal
31,-98.9,49.19,0,1958-01-01,-16.1,-18.9,-17.5,0.0,0.0,0.0,Normal
32,-98.9,49.19,0,1958-01-02,-12.8,-23.3,-18.1,0.0,0.0,0.0,Normal
33,-98.9,49.19,0,1958-01-03,-5.6,-20.6,-13.1,0.0,0.0,0.0,Normal
34,-98.9,49.19,0,1958-01-04,-3.9,-16.1,-10.0,0.0,0.0,0.0,Normal
35,-98.9,49.19,0,1958-01-05,4.4,-10.0,-2.8,0.0,0.0,0.0,Normal
36,-98.9,49.19,0,1958-01-06,-15.0,-21.1,-18.1,0.0,0.0,0.0,Normal
37,-98.9,49.19,0,1958-01-07,2.2,-20.6,-9.2,0.0,0.0,0.0,Normal
38,-98.9,49.19,0,1958-01-08,6.1,-6.1,0.0,0.0,0.0,0.0,Normal
39,-98.9,49.19,0,1958-01-09,5.0,-7.8,-1.4,0.0,0.0,0.0,Normal
40,-98.9,49.19,0,1958-01-10,2.8,-4.4,-0.8,0.0,0.0,0.0,Normal
41,-98.9,49.19,0,1958-01-11,1.1,-6.1,-2.5,0.0,0.0,0.0,Normal
42,-98.9,49.19,0,1958-01-12,-1.7,-10.6,-6.2,0.0,0.0,0.0,Normal
43,-98.9,49.19,0,1958-01-13,-14.4,-18.3,-16.4,0.0,0.0,0.0,Normal
44,-98.9,49.19,0,1958-01-14,-7.8,-24.4,-16.1,0.0,0.0,0.0,Normal
45,-98.9,49.19,0,1958-01-15,-3.3,-12.8,-8.1,0.0,0.5,0.5,Freezing Rain
46,-98.9,49.19,0,1958-01-16,-10.0,-12.8,-11.4,0.0,0.0,0.0,Normal
47,-98.9,49.19,0,1958-01-17,-7.2,-18.9,-13.1,0.0,0.0,0.0,Normal
48,-98.9,49.19,0,1958-01-18,-6.7,-10.6,-8.7,0.0,1.8,1.8,Freezing Rain
49,-98.9,49.19,0,1958-01-19,-12.2,-18.9,-15.6,0.0,0.5,0.5,Freezing Rain
50,-98.9,49.19,0,1958-01-20,-6.7,-23.9,-15.3,0.0,0.0,0.0,Normal
51,-98.9,49.19,0,1958-01-21,-0.6,-11.1,-5.9,0.0,0.0,0.0,Normal
52,-98.9,49.19,0,1958-01-22,-17.8,-20.0,-18.9,0.0,0.0,0.0,Normal
53,-98.9,49.19,0,1958-01-23,-3.9,-24.4,-14.2,0.0,0.0,0.0,Normal
54,-98.9,49.19,0,1958-01-24,-2.2,-10.0,-6.1,0.0,3.8,3.8,Normal
55,-98.9,49.19,0,1958-01-25,-5.0,-10.0,-7.5,0.0,3.6,3.6,Normal
56,-98.9,49.19,0,1958-01-26,-11.1,-15.0,-13.1,0.0,0.0,0.0,Normal
57,-98.9,49.19,0,1958-01-27,-8.9,-12.8,-10.9,0.0,0.0,0.0,Normal
58,-98.9,49.19,0,1958-01-28,-10.6,-16.1,-13.4,0.0,0.0,0.0,Normal
59,-98.9,49.19,0,1958-01-29,-9.4,-16.1,-12.8,0.0,0.3,0.3,Freezing Rain
60,-98.9,49.19,0,1958-01-30,-13.3,-18.9,-16.1,0.0,0.3,0.3,Freezing Rain
61,-98.9,49.19,0,1958-01-31,-13.3,-21.7,-17.5,0.0,3.3,3.3,Freezing Rain
62,-98.9,49.19,0,1958-02-01,-13.9,-16.1,-15.0,0.0,0.5,0.5,Freezing Rain
63,-98.9,49.19,0,1958-02-02,-15.0,-21.7,-18.4,0.0,0.0,0.0,Normal
64,-98.9,49.19,0,1958-02-03,-8.3,-23.3,-15.8,0.0,0.0,0.0,Normal
65,-98.9,49.19,0,1958-02-04,-14.4,-18.3,-16.4,0.0,2.0,2.0,Freezing Rain
66,-98.9,49.19,0,1958-02-05,-13.9,-20.6,-17.3,0.0,0.5,0.5,Freezing Rain
67,-98.9,49.19,0,1958-02-06,-20.6,-26.7,-23.7,0.0,0.0,0.0,Normal
68,-98.9,49.19,0,1958-02-07,-20.0,-27.2,-23.6,0.0,0.3,0.3,Freezing Rain
69,-98.9,49.19,0,1958-02-08,-20.0,-23.3,-21.7,0.0,0.0,0.0,Normal
