,Longitude (x),Latitude (y),Station Name,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Extreme_Weather_Condition
0,-77.53,44.12,0,1953-01-01,1.7,-16.1,-7.2,0.0,1.0,1.0,Freezing Rain
1,-77.53,44.12,0,1953-01-02,2.2,-5.6,-1.7,0.0,0.0,0.0,Normal
2,-77.53,44.12,0,1953-01-03,3.3,-5.0,-0.9,0.0,0.0,0.0,Normal
3,-77.53,44.12,0,1953-01-04,-5.0,-12.8,-8.9,0.0,1.8,1.8,Freezing Rain
4,-77.53,44.12,0,1953-01-05,-2.2,-10.0,-6.1,0.0,11.2,11.2,Freezing Rain
5,-77.53,44.12,0,1953-01-06,-4.4,-10.0,-7.2,0.0,1.3,1.3,Freezing Rain
6,-77.53,44.12,0,1953-01-07,-8.9,-13.3,-11.1,0.0,0.0,0.0,Normal
7,-77.53,44.12,0,1953-01-08,-8.3,-18.9,-13.6,0.0,3.8,3.8,Freezing Rain
8,-77.53,44.12,0,1953-01-09,-3.9,-11.1,-7.5,0.0,1.3,1.3,Freezing Rain
9,-77.53,44.12,0,1953-01-10,2.8,-6.7,-2.0,17.5,0.0,17.5,Freezing Rain
10,-77.53,44.12,0,1953-01-11,2.2,-2.8,-0.3,0.5,0.0,0.5,Freezing Rain
11,-77.53,44.12,0,1953-01-12,3.3,-12.2,-4.5,0.0,0.0,0.0,Normal
12,-77.53,44.12,0,1953-01-13,4.4,-1.7,1.4,0.0,0.0,0.0,Normal
13,-77.53,44.12,0,1953-01-14,4.4,-1.1,1.7,0.0,0.0,0.0,Normal
14,-77.53,44.12,0,1953-01-15,10.6,0.0,5.3,3.6,0.0,3.6,Normal
15,-77.53,44.12,0,1953-01-16,5.0,-7.8,-1.4,0.0,0.0,0.0,Normal
16,-77.53,44.12,0,1953-01-17,5.0,-14.4,-4.7,11.4,1.0,12.4,Freezing Rain
17,-77.53,44.12,0,1953-01-18,3.3,-5.0,-0.9,0.0,0.0,0.0,Normal
18,-77.53,44.12,0,1953-01-19,2.2,0.0,1.1,0.0,0.0,0.0,Normal
19,-77.53,44.12,0,1953-01-20,3.3,-3.9,-0.3,0.0,0.0,0.0,Normal
20,-77.53,44.12,0,1953-01-21,-1.7,-7.2,-4.5,2.5,0.0,2.5,Freezing Rain
21,-77.53,44.12,0,1953-01-22,1.1,-5.6,-2.3,0.0,0.0,0.0,Normal
22,-77.53,44.12,0,1953-01-23,6.1,-3.3,1.4,10.2,0.0,10.2,Normal
23,-77.53,44.12,0,1953-01-24,10.0,2.8,6.4,5.3,0.0,5.3,Normal
24,-77.53,44.12,0,1953-01-25,-2.8,-10.0,-6.4,0.0,0.0,0.0,Normal
25,-77.53,44.12,0,1953-01-26,-4.4,-13.3,-8.9,0.0,0.0,0.0,Normal
26,-77.53,44.12,0,1953-01-27,2.8,-9.4,-3.3,0.0,2.5,2.5,Freezing Rain
27,-77.53,44.12,0,1953-01-28,0.6,-3.9,-1.7,0.0,3.3,3.3,Freezing Rain
28,-77.53,44.12,0,1953-01-29,-1.1,-8.3,-4.7,0.0,4.6,4.6,Freezing Rain
29,-77.53,44.12,0,1953-01-30,0.0,-14.4,-7.2,0.0,2.5,2.5,Freezing Rain
30,-77.53,44.12,0,1953-01-31,5.0,-6.7,-0.9,4.6,5.6,10.2,Freezing Rain
31,-77.53,44.12,0,1953-02-01,-13.3,-16.7,-15.0,0.0,0.0,0.0,Normal
32,-77.53,44.12,0,1953-02-02,-11.7,-18.3,-15.0,0.0,7.1,7.1,Freezing Rain
33,-77.53,44.12,0,1953-02-03,-6.7,-14.4,-10.6,0.0,0.0,0.0,Normal
34,-77.53,44.12,0,1953-02-04,-0.6,-18.9,-9.8,0.0,0.3,0.3,Freezing Rain
35,-77.53,44.12,0,1953-02-05,3.9,-9.4,-2.8,0.0,0.0,0.0,Normal
36,-77.53,44.12,0,1953-02-06,3.9,0.6,2.3,0.0,0.0,0.0,Normal
37,-77.53,44.12,0,1953-02-07,4.4,0.0,2.2,0.0,0.0,0.0,Normal
38,-77.53,44.12,0,1953-02-08,4.4,0.0,2.2,0.0,0.0,0.0,Normal
39,-77.53,44.12,0,1953-02-09,0.0,-4.4,-2.2,0.0,0.0,0.0,Normal
40,-77.53,44.12,0,1953-02-10,0.0,-11.1,-5.6,0.0,0.0,0.0,Normal
41,-77.53,44.12,0,1953-02-11,-1.1,-8.9,-5.0,0.0,8.9,8.9,Freezing Rain
42,-77.53,44.12,0,1953-02-12,-1.1,-6.7,-3.9,0.0,0.0,0.0,Normal
43,-77.53,44.12,0,1953-02-13,2.8,-6.1,-1.7,0.0,0.0,0.0,Normal
44,-77.53,44.12,0,1953-02-14,4.4,-3.3,0.6,0.0,0.0,0.0,Normal
45,-77.53,44.12,0,1953-02-15,3.9,-1.1,1.4,7.6,0.0,7.6,Normal
46,-77.53,44.12,0,1953-02-16,-2.2,-10.0,-6.1,0.0,0.0,0.0,Normal
47,-77.53,44.12,0,1953-02-17,-3.3,-8.9,-6.1,0.0,0.0,0.0,Normal
48,-77.53,44.12,0,1953-02-18,-1.1,-10.0,-5.6,0.0,5.1,5.1,Freezing Rain
49,-77.53,44.12,0,1953-02-19,3.3,-7.8,-2.3,0.0,0.0,0.0,Normal
50,-77.53,44.12,0,1953-02-20,11.1,-3.3,3.9,1.5,0.0,1.5,Normal
51,-77.53,44.12,0,1953-02-21,11.7,-1.1,5.3,0.3,0.0,0.3,Normal
52,-77.53,44.12,0,1953-02-22,-2.8,-7.8,-5.3,0.0,0.0,0.0,Normal
53,-77.53,44.12,0,1953-02-23,2.2,-7.2,-2.5,0.0,0.0,0.0,Normal
