,Longitude (x),Latitude (y),Station Name,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Extreme_Weather_Condition
0,-88.91,50.29,0,1953-01-01,-3.3,-9.4,-6.4,0.0,0.0,0.0,Normal
1,-88.91,50.29,0,1953-01-02,-11.1,-24.4,-17.8,0.0,0.0,0.0,Normal
2,-88.91,50.29,0,1953-01-03,-12.8,-23.9,-18.4,0.0,0.0,0.0,Normal
3,-88.91,50.29,0,1953-01-04,-18.3,-35.0,-26.7,0.0,0.0,0.0,Normal
4,-88.91,50.29,0,1953-01-05,-21.1,-33.3,-27.2,0.0,0.5,0.5,Freezing Rain
5,-88.91,50.29,0,1953-01-06,-17.2,-29.4,-23.3,0.0,0.5,0.5,Freezing Rain
6,-88.91,50.29,0,1953-01-07,-6.1,-32.8,-19.5,0.0,7.1,7.1,Freezing Rain
7,-88.91,50.29,0,1953-01-08,-3.3,-15.0,-9.2,0.0,1.5,1.5,Freezing Rain
8,-88.91,50.29,0,1953-01-09,0.0,-6.7,-3.4,0.0,0.0,0.0,Normal
9,-88.91,50.29,0,1953-01-10,0.6,-10.6,-5.0,0.0,0.0,0.0,Normal
10,-88.91,50.29,0,1953-01-11,-10.0,-24.4,-17.2,0.0,2.8,2.8,Freezing Rain
11,-88.91,50.29,0,1953-01-12,-15.0,-19.4,-17.2,0.0,1.3,1.3,Freezing Rain
12,-88.91,50.29,0,1953-01-13,-16.7,-25.0,-20.9,0.0,0.0,0.0,Normal
13,-88.91,50.29,0,1953-01-14,-16.7,-18.9,-17.8,0.0,2.8,2.8,Freezing Rain
14,-88.91,50.29,0,1953-01-15,-18.9,-26.1,-22.5,0.0,1.0,1.0,Freezing Rain
15,-88.91,50.29,0,1953-01-16,-8.3,-40.0,-24.2,0.0,0.0,0.0,Normal
16,-88.91,50.29,0,1953-01-17,-8.9,-20.6,-14.8,0.0,0.8,0.8,Freezing Rain
17,-88.91,50.29,0,1953-01-18,-10.6,-13.9,-12.3,0.0,0.3,0.3,Freezing Rain
18,-88.91,50.29,0,1953-01-19,-13.9,-32.8,-23.4,0.0,3.3,3.3,Freezing Rain
19,-88.91,50.29,0,1953-01-20,-8.3,-38.9,-23.6,0.0,2.0,2.0,Freezing Rain
